"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 10:22:37 UTC 2026","Thu Sep 10 10:22:51 UTC 2026","14065","tests","test_test_cases","TestProducts","","","test_case_09_search_product[chromium]",""
"passed","Thu Sep 10 10:23:32 UTC 2026","Thu Sep 10 10:23:47 UTC 2026","14671","tests","test_test_cases","TestSubscription","","","test_case_10_subscription_home_page[webkit]",""
"passed","Thu Sep 10 10:22:10 UTC 2026","Thu Sep 10 10:22:55 UTC 2026","45143","tests","test_test_cases","TestAccountManagement","","","test_case_04_logout_user[webkit]",""
"passed","Thu Sep 10 10:22:08 UTC 2026","Thu Sep 10 10:22:37 UTC 2026","28554","tests","test_test_cases","TestProducts","","","test_case_08_all_products_and_detail_page[chromium]",""
"passed","Thu Sep 10 10:22:10 UTC 2026","Thu Sep 10 10:22:40 UTC 2026","30371","tests","test_test_cases","TestProducts","","","test_case_08_all_products_and_detail_page[firefox]",""
"passed","Thu Sep 10 10:22:41 UTC 2026","Thu Sep 10 10:22:59 UTC 2026","17871","tests","test_test_cases","TestProducts","","","test_case_09_search_product[webkit]",""
"passed","Thu Sep 10 10:23:01 UTC 2026","Thu Sep 10 10:23:16 UTC 2026","15485","tests","test_test_cases","TestNavigation","","","test_case_06_contact_us_form[firefox]",""
"passed","Thu Sep 10 10:22:08 UTC 2026","Thu Sep 10 10:22:40 UTC 2026","32105","tests","test_test_cases","TestProducts","","","test_case_08_all_products_and_detail_page[webkit]",""
"passed","Thu Sep 10 10:21:56 UTC 2026","Thu Sep 10 10:22:10 UTC 2026","14684","tests","test_test_cases","TestAccountManagement","","","test_case_03_login_incorrect_credentials[chromium-wrongemail@test.com-wrongpass]",""
"passed","Thu Sep 10 10:22:42 UTC 2026","Thu Sep 10 10:22:58 UTC 2026","16373","tests","test_test_cases","TestProducts","","","test_case_09_search_product[firefox]",""
"passed","Thu Sep 10 10:21:56 UTC 2026","Thu Sep 10 10:22:09 UTC 2026","12843","tests","test_test_cases","TestNavigation","","","test_case_07_verify_test_cases_page[firefox]",""
"passed","Thu Sep 10 10:22:33 UTC 2026","Thu Sep 10 10:23:14 UTC 2026","40334","tests","test_test_cases","TestAccountManagement","","","test_case_02_login_correct_credentials[chromium]",""
"passed","Thu Sep 10 10:21:56 UTC 2026","Thu Sep 10 10:22:37 UTC 2026","40808","tests","test_test_cases","TestAccountManagement","","","test_case_01_register_user[firefox]",""
"passed","Thu Sep 10 10:21:56 UTC 2026","Thu Sep 10 10:22:32 UTC 2026","36513","tests","test_test_cases","TestAccountManagement","","","test_case_01_register_user[chromium]",""
"passed","Thu Sep 10 10:22:39 UTC 2026","Thu Sep 10 10:23:26 UTC 2026","47515","tests","test_test_cases","TestAccountManagement","","","test_case_02_login_correct_credentials[firefox]",""
"passed","Thu Sep 10 10:21:53 UTC 2026","Thu Sep 10 10:22:07 UTC 2026","13211","tests","test_test_cases","TestNavigation","","","test_case_07_verify_test_cases_page[webkit]",""
"passed","Thu Sep 10 10:21:53 UTC 2026","Thu Sep 10 10:22:56 UTC 2026","62999","tests","test_test_cases","TestAccountManagement","","","test_case_05_register_existing_email[webkit]",""
"passed","Thu Sep 10 10:22:51 UTC 2026","Thu Sep 10 10:23:07 UTC 2026","15264","tests","test_test_cases","TestNavigation","","","test_case_06_contact_us_form[chromium]",""
"passed","Thu Sep 10 10:22:47 UTC 2026","Thu Sep 10 10:23:00 UTC 2026","12580","tests","test_test_cases","TestSubscription","","","test_case_10_subscription_home_page[chromium]",""
"passed","Thu Sep 10 10:21:56 UTC 2026","Thu Sep 10 10:22:07 UTC 2026","11947","tests","test_test_cases","TestNavigation","","","test_case_07_verify_test_cases_page[chromium]",""
"passed","Thu Sep 10 10:22:59 UTC 2026","Thu Sep 10 10:23:21 UTC 2026","21232","tests","test_test_cases","TestNavigation","","","test_case_06_contact_us_form[webkit]",""
"passed","Thu Sep 10 10:21:55 UTC 2026","Thu Sep 10 10:22:49 UTC 2026","53887","tests","test_test_cases","TestAccountManagement","","","test_case_05_register_existing_email[chromium]",""
"passed","Thu Sep 10 10:22:56 UTC 2026","Thu Sep 10 10:23:08 UTC 2026","12136","tests","test_test_cases","TestSubscription","","","test_case_10_subscription_home_page[firefox]",""
"passed","Thu Sep 10 10:21:56 UTC 2026","Thu Sep 10 10:22:58 UTC 2026","61630","tests","test_test_cases","TestAccountManagement","","","test_case_05_register_existing_email[firefox]",""
"passed","Thu Sep 10 10:22:37 UTC 2026","Thu Sep 10 10:23:30 UTC 2026","52250","tests","test_test_cases","TestAccountManagement","","","test_case_02_login_correct_credentials[webkit]",""
"passed","Thu Sep 10 10:22:11 UTC 2026","Thu Sep 10 10:22:47 UTC 2026","35374","tests","test_test_cases","TestAccountManagement","","","test_case_04_logout_user[chromium]",""
"passed","Thu Sep 10 10:21:56 UTC 2026","Thu Sep 10 10:22:12 UTC 2026","16187","tests","test_test_cases","TestAccountManagement","","","test_case_03_login_incorrect_credentials[firefox-wrongemail@test.com-wrongpass]",""
"passed","Thu Sep 10 10:22:14 UTC 2026","Thu Sep 10 10:22:54 UTC 2026","40212","tests","test_test_cases","TestAccountManagement","","","test_case_04_logout_user[firefox]",""
"passed","Thu Sep 10 10:21:53 UTC 2026","Thu Sep 10 10:22:36 UTC 2026","42220","tests","test_test_cases","TestAccountManagement","","","test_case_01_register_user[webkit]",""
"passed","Thu Sep 10 10:21:53 UTC 2026","Thu Sep 10 10:22:09 UTC 2026","15790","tests","test_test_cases","TestAccountManagement","","","test_case_03_login_incorrect_credentials[webkit-wrongemail@test.com-wrongpass]",""
